test_id,is_duplicate
15,1
20,1
21,0
23,0
34,1
46,0
48,1
51,1
54,0
56,0
58,1
72,1
73,1
78,0
81,1
88,1
94,1
100,0
107,1
113,1
121,0
128,0
132,1
134,1
139,1
142,0
143,1
148,0
151,1
156,1
163,1
164,1
167,0
179,1
185,1
193,1
195,1
196,0
201,0
202,1
204,0
206,1
210,1
213,1
214,0
218,0
221,1
232,1
233,0
235,0
237,0
240,1
244,1
248,1
250,1
253,1
254,0
259,0
262,1
265,1
271,0
273,1
276,0
279,1
280,0
283,0
295,1
297,0
302,1
306,0
308,1
328,0
332,0
333,0
334,1
339,1
342,1
345,0
353,1
354,1
362,1
368,1
371,0
379,0
388,1
389,0
395,1
400,1
410,1
412,0
415,1
428,1
431,1
437,1
439,1
441,0
444,0
448,0
453,0
454,1
456,0
459,1
460,1
465,0
472,0
475,1
477,1
482,0
486,0
494,1
501,1
511,0
522,0
531,0
536,1
538,1
543,0
554,1
560,1
564,1
568,0
570,1
577,1
578,1
581,1
587,0
590,1
591,1
597,1
599,1
611,0
614,0
625,1
630,1
633,0
635,1
643,0
644,1
648,1
652,1
655,1
660,1
666,0
667,0
668,1
669,1
672,0
675,1
681,1
687,0
710,1
716,0
728,1
732,0
734,0
737,1
741,1
744,1
747,0
749,0
750,1
752,1
756,0
770,0
773,1
776,1
777,1
778,0
779,1
784,0
785,1
788,1
796,1
801,0
802,0
806,1
812,1
813,0
816,0
830,0
832,1
836,1
856,1
859,1
870,0
879,1
890,1
893,1
895,0
897,0
898,1
904,1
910,0
912,1
924,1
927,1
929,1
931,1
937,0
942,1
945,1
948,0
951,1
981,0
984,0
986,0
991,1
992,0
993,1
1006,1
1007,1
1009,0
1012,0
1015,1
1016,0
1017,0
1018,1
1020,1
1022,0
1025,0
1026,1
1036,1
1039,1
1050,0
1059,0
1060,0
1065,1
1067,0
1072,0
1090,0
1098,0
1108,1
1131,0
1133,1
1143,0
1145,1
1148,1
1150,1
1159,1
1161,0
1164,1
1166,0
1168,1
1173,0
1188,1
1196,0
1202,0
1211,1
1213,0
1216,1
1217,0
1220,0
1223,0
1235,0
1242,1
1244,1
1245,0
1252,0
1254,1
1256,1
1261,1
1263,0
1271,1
1272,1
1273,1
1274,1
1278,0
1279,0
1285,1
1286,1
1288,0
1292,0
1294,1
1300,1
1303,1
1305,1
1308,0
1311,1
1312,0
1316,1
1318,1
1319,1
1329,1
1330,0
1334,1
1335,1
1337,0
1338,0
1341,1
1363,0
1366,0
1377,1
1387,1
1391,0
1393,1
1395,1
1396,0
1401,1
1405,1
1406,1
1419,1
1420,0
1427,1
1433,1
1435,0
1438,1
1439,1
1442,1
1450,0
1451,1
1453,0
1457,1
1462,1
1467,0
1469,0
1471,1
1474,1
1489,0
1490,1
1494,0
1501,1
1507,0
1509,1
1510,0
1517,0
1519,0
1520,1
1522,0
1524,0
1527,1
1528,0
1529,1
1534,1
1535,1
1552,1
1555,0
1556,0
1572,1
1581,1
1585,1
1597,1
1606,1
1609,1
1633,0
1637,1
1652,0
1653,0
1654,0
1658,0
1660,1
1662,1
1671,0
1683,0
1685,1
1687,1
1690,1
1692,1
1703,0
1705,1
1706,1
1718,0
1720,0
1726,0
1738,1
1740,1
1743,0
1744,0
1751,1
1754,1
1763,0
1773,1
1777,0
1781,1
1783,1
1784,1
1788,1
1789,1
1790,1
1794,0
1795,1
1798,0
1800,0
1803,0
1807,1
1813,0
1816,1
1818,1
1825,1
1826,1
1831,0
1839,1
1859,0
1860,1
1863,1
1872,1
1876,1
1902,0
1905,1
1915,0
1916,1
1917,0
1918,1
1919,1
1928,0
1930,0
1934,0
1935,1
1943,1
1945,0
1946,0
1947,1
1949,1
1954,0
1956,1
1961,1
1965,1
1973,1
1988,1
1989,1
1990,1
2005,1
2010,1
2011,1
2017,0
2021,1
2023,0
2027,1
2030,1
2041,1
2042,0
2046,1
2047,0
2049,1
2057,1
2070,1
2075,1
2080,1
2084,1
2089,0
2090,0
2091,0
2099,0
2102,1
2108,1
2119,1
2121,1
2133,0
2136,1
2139,0
2143,1
2145,1
2177,1
2184,1
2186,1
2193,0
2201,1
2202,0
2203,1
2205,1
2226,0
2235,1
2248,0
2251,1
2252,0
2254,0
2256,0
2263,0
2269,0
2273,0
2278,1
2287,1
2289,1
2295,0
2300,0
2311,0
2321,0
2323,0
2325,1
2332,1
2333,0
2338,1
2353,1
2354,0
2355,0
2359,1
2361,1
2363,1
2372,1
2377,1
2378,1
2386,0
2389,0
2390,1
2406,0
2407,1
2408,1
2409,1
2418,1
2423,1
2424,1
2431,1
2435,1
2440,1
2446,0
2453,1
2455,1
2458,0
2465,0
2467,1
2472,1
2474,0
2476,1
2477,1
2488,1
2500,0
2505,0
2506,1
2510,1
2511,1
2513,1
2515,0
2516,1
2518,1
2527,1
2534,0
2536,1
2538,1
2539,0
2542,1
2557,1
2558,0
2560,1
2561,1
2571,1
2575,1
2585,1
2586,1
2590,1
2599,0
2601,1
2608,0
2633,1
2634,1
2644,1
2648,1
2649,1
2653,1
2657,1
2660,1
2661,0
2662,1
2668,1
2679,1
2680,0
2685,1
2709,0
2710,0
2714,1
2719,1
2726,0
2733,0
2744,1
2757,0
2758,0
2759,1
2762,1
2765,0
2768,0
2771,1
2772,0
2779,1
2783,1
2794,0
2810,1
2811,0
2828,1
2830,1
2833,0
2834,1
2842,1
2857,1
2858,0
2861,1
2862,0
2864,0
2867,1
2868,1
2874,1
2877,1
2878,1
2879,1
2883,1
2889,1
2891,1
2919,1
2925,1
2939,1
2947,0
2951,0
2960,0
2961,0
2963,1
2977,0
2994,1
2995,0
3005,1
3012,1
3017,0
3018,1
3020,1
3032,1
3033,1
3034,1
3035,1
3041,1
3053,1
3061,1
3070,0
3074,0
3076,1
3077,0
3085,1
3086,1
3088,1
3094,1
3100,1
3112,1
3114,1
3119,1
3122,0
3126,1
3130,1
3135,0
3138,1
3141,0
3144,0
3146,0
3154,1
3155,0
3158,0
3179,1
3185,1
3191,1
3194,0
3200,1
3202,1
3213,1
3217,1
3218,1
3222,1
3224,0
3225,0
3227,1
3232,0
3237,1
3244,1
3246,0
3253,1
3262,0
3276,1
3280,1
3282,1
3293,0
3294,1
3297,1
3307,1
3310,1
3312,0
3318,0
3319,1
3328,1
3330,1
3338,1
3340,1
3346,0
3351,0
3361,1
3371,0
3373,0
3395,1
3402,0
3405,1
3409,0
3410,1
3414,0
3415,1
3417,1
3419,0
3421,1
3435,0
3440,1
3444,1
3451,0
3453,1
3454,0
3459,0
3461,1
3462,1
3478,1
3480,0
3481,0
3488,1
3493,1
3497,1
3504,0
3510,0
3514,1
3515,0
3518,0
3522,1
3524,0
3527,0
3533,0
3543,1
3566,0
3572,1
3574,0
3576,1
3579,1
3589,1
3592,1
3598,0
3599,0
3602,1
3604,1
3608,1
3610,1
3612,1
3615,0
3623,1
3624,1
3625,0
3632,0
3642,0
3643,1
3644,0
3645,1
3646,1
3651,0
3660,1
3662,1
3667,1
3673,0
3674,0
3679,0
3680,0
3685,1
3688,1
3692,1
3704,1
3705,1
3713,0
3717,0
3719,0
3732,1
3741,0
3745,1
3748,0
3751,1
3753,0
3761,1
3764,1
3765,1
3767,0
3773,1
3775,0
3782,0
3783,1
3785,1
3789,1
3794,1
3802,0
3807,1
3810,1
3814,0
3815,0
3817,1
3818,1
3819,1
3820,0
3821,1
3825,0
3832,1
3836,1
3837,0
3839,0
3840,0
3846,0
3856,0
3857,1
3858,1
3862,0
3863,1
3864,0
3867,1
3873,0
3882,1
3897,1
3898,1
3902,0
3903,1
3911,0
3912,1
3913,1
3922,1
3927,0
3931,1
3932,0
3933,1
3941,1
3942,0
3953,1
3954,1
3955,1
3959,0
3961,0
3964,0
3969,1
3979,1
3985,1
3987,0
3988,0
3991,1
3993,1
3994,0
3997,0
3998,0
3999,0
4000,1
4003,1
4006,1
4020,1
4028,1
4039,1
4045,1
4075,1
4079,1
4085,0
4086,1
4094,1
4099,1
4101,0
4104,1
4107,0
4109,1
4114,0
4119,0
4122,0
4134,0
4143,0
4151,0
4154,0
4171,0
4174,1
4179,1
4191,0
4192,1
4196,0
4201,0
4206,0
4215,0
4216,1
4221,0
4224,0
4228,1
4229,1
4242,0
4257,1
4258,0
4260,1
4273,1
4277,1
4280,0
4287,1
4292,0
4297,1
4300,1
4301,0
4306,0
4308,1
4310,0
4316,1
4322,0
4331,1
4337,1
4338,1
4340,0
4351,1
4357,0
4360,0
4366,1
4368,1
4372,0
4373,1
4384,1
4387,1
4388,1
4389,0
4390,0
4394,1
4402,1
4407,0
4408,0
4409,0
4419,0
4424,1
4427,0
4432,1
4443,0
4449,0
4451,1
4454,1
4466,1
4472,1
4473,0
4476,1
4506,0
4510,1
4511,1
4512,0
4513,1
4516,0
4524,1
4543,1
4556,0
4568,0
4572,0
4573,0
4575,1
4576,1
4584,1
4595,1
4599,0
4617,1
4619,0
4622,1
4624,0
4628,0
4629,0
4634,1
4635,1
4636,1
4637,1
4642,0
4646,1
4651,1
4654,1
4655,0
4657,0
4666,1
4671,0
4680,1
4687,0
4689,0
4705,1
4708,1
4714,0
4717,0
4719,1
4720,1
4723,1
4729,1
4735,0
4744,1
4751,1
4753,1
4755,0
4760,1
4762,1
4770,1
4772,0
4783,0
4789,1
4790,1
4791,1
4794,1
4795,0
4796,1
4801,1
4804,1
4807,1
4813,1
4829,1
4832,1
4836,1
4840,1
4851,1
4864,0
4867,0
4880,1
4889,0
4890,1
4891,0
4896,0
4905,1
4909,0
4918,1
4924,0
4925,1
4932,1
4938,0
4939,1
4942,1
4947,1
4959,1
4967,1
4970,0
4972,0
4978,0
4990,1
4995,0
4996,1
5000,1
5002,1
5008,0
5013,1
5014,1
5015,1
5029,1
5037,1
5045,0
5051,1
5054,1
5058,0
5067,1
5070,0
5080,1
5086,1
5087,1
5090,0
5102,1
5108,1
5113,1
5114,1
5130,1
5132,1
5133,1
5147,0
5152,1
5153,0
5161,1
5162,0
5165,1
5167,1
5171,1
5177,1
5178,0
5180,0
5189,0
5190,0
5200,1
5202,1
5208,0
5209,0
5212,0
5214,1
5217,1
5226,0
5227,1
5231,0
5236,1
5242,1
5244,1
5249,1
5253,1
5260,0
5275,1
5278,0
5288,1
5289,1
5290,1
5292,1
5297,0
5311,1
5318,1
5319,1
5331,1
5333,1
5340,1
5341,1
5345,0
5346,1
5348,1
5356,1
5357,0
5360,0
5362,0
5367,1
5375,1
5381,1
5384,1
5389,1
5392,1
5401,1
5412,1
5420,0
5422,1
5424,0
5428,1
5429,1
5435,1
5436,1
5443,1
5456,0
5459,0
5461,1
5465,1
5467,1
5472,1
5484,0
5485,1
5493,1
5495,0
5497,0
5499,1
5504,1
5507,1
5508,0
5510,0
5512,1
5516,1
5522,1
5523,1
5524,0
5525,1
5530,0
5531,0
5533,1
5535,1
5539,1
5544,0
5546,1
5547,1
5549,1
5570,1
5572,1
5577,0
5594,1
5595,0
5600,1
5602,1
5608,1
5611,1
5617,1
5621,0
5623,1
5628,1
5629,1
5632,1
5634,1
5635,1
5637,0
5640,0
5647,1
5655,1
5657,1
5663,0
5674,0
5677,1
5678,1
5679,1
5692,0
5697,1
5699,1
5701,0
5703,0
5705,0
5706,1
5713,0
5717,1
5718,1
5719,1
5722,0
5738,0
5743,0
5745,1
5749,1
5756,0
5759,1
5762,1
5765,0
5767,1
5769,0
5773,1
5777,1
5779,0
5780,1
5792,0
5794,0
5800,1
5807,1
5811,0
5817,1
5820,1
5823,1
5832,0
5837,1
5840,1
5850,0
5853,0
5862,1
5863,1
5864,1
5869,0
5872,0
5876,0
5877,1
5885,1
5888,1
5889,1
5892,1
5894,1
5897,0
5899,0
5907,1
5910,1
5914,1
5918,0
5922,1
5927,1
5939,1
5942,1
5950,1
5951,0
5957,1
5966,1
5969,1
5971,1
5972,0
5973,1
5978,0
5989,1
6004,0
6018,1
6021,0
6027,1
6030,1
6033,1
6037,1
6044,0
6051,0
6056,1
6064,0
6073,1
6074,0
6080,0
6084,1
6085,1
6086,0
6087,1
6093,0
6099,0
6114,0
6119,1
6121,1
6127,1
6130,1
6131,1
6132,1
6134,0
6143,1
6147,0
6153,1
6158,1
6170,1
6173,1
6197,1
6199,0
6205,0
6206,0
6210,0
6211,0
6226,1
6229,1
6236,1
6238,1
6239,0
6245,1
6247,1
6249,0
6251,1
6252,1
6255,1
6259,1
6261,1
6265,1
6270,0
6277,0
6281,0
6283,1
6285,1
6286,1
6287,0
6292,0
6296,0
6303,1
6305,1
6312,0
6313,1
6314,1
6316,0
6318,1
6322,1
6324,1
6331,0
6334,1
6337,1
6338,0
6339,1
6351,0
6352,1
6358,0
6365,1
6368,0
6376,1
6384,1
6387,0
6399,1
6404,1
6405,1
6407,1
6408,0
6422,0
6424,1
6425,1
6429,0
6435,1
6440,1
6450,0
6459,1
6466,0
6474,0
6475,1
6476,1
6481,0
6491,1
6502,1
6521,1
6524,1
6530,1
6531,0
6536,0
6539,1
6541,1
6547,0
6549,0
6552,0
6553,1
6554,1
6559,1
6563,1
6564,1
6567,1
6568,0
6584,1
6586,0
6598,1
6599,0
6605,0
6609,1
6611,1
6615,1
6630,0
6638,1
6639,0
6645,1
6649,0
6651,0
6654,1
6656,1
6659,0
6663,1
6667,1
6680,1
6695,1
6696,0
6705,1
6717,0
6720,1
6725,0
6727,1
6728,0
6729,1
6735,1
6737,0
6739,1
6741,1
6757,1
6759,1
6767,0
6771,1
6773,1
6780,0
6781,1
6783,1
6784,1
6785,1
6789,1
6790,1
6792,1
6793,0
6796,0
6799,1
6804,0
6810,1
6820,1
6828,1
6832,1
6833,1
6839,1
6844,0
6852,1
6856,0
6859,0
6877,1
6882,1
6891,0
6898,0
6900,1
6906,1
6914,1
6922,1
6924,1
6933,1
6935,1
6937,0
6947,0
6948,1
6954,1
6956,0
6958,0
6959,0
6962,0
6968,1
6972,1
6975,1
6987,0
6988,1
6989,1
6997,1
6998,1
7005,0
7007,0
7011,1
7017,1
7021,0
7024,1
7042,0
7043,0
7048,1
7049,1
7052,1
7055,1
7063,1
7066,0
7073,0
7076,0
7105,1
7115,0
7116,1
7117,1
7118,1
7119,1
7141,1
7143,1
7146,0
7147,0
7153,0
7154,1
7166,1
7170,0
7172,1
7173,1
7177,1
7181,0
7184,0
7193,0
7196,1
7197,1
7203,0
7205,1
7209,1
7224,1
7225,1
7227,1
7233,1
7239,1
7251,0
7252,0
7255,0
7264,1
7268,1
7272,0
7290,1
7294,1
7296,0
7298,0
7301,1
7307,0
7314,1
7327,1
7328,0
7349,1
7354,1
7356,1
7360,1
7361,1
7370,1
7376,0
7378,1
7380,1
7384,1
7387,1
